"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2021","3,303.60","2,972.80","3,442.40","2,954.90","7.06K","11.17%"
"Nov 07, 2021","2,971.60","3,025.70","3,060.50","2,911.70","2.44K","-1.61%"
"Nov 06, 2021","3,020.30","2,947.70","3,094.30","2,804.60","3.75K","2.45%"
"Nov 05, 2021","2,948.10","3,013.20","3,025.90","2,858.10","3.29K","-2.26%"
"Nov 04, 2021","3,016.30","3,215.70","3,241.60","2,885.90","6.83K","-6.20%"
"Nov 03, 2021","3,215.70","2,799.70","3,624.10","2,797.60","31.75K","14.86%"
"Nov 02, 2021","2,799.70","2,452.80","2,893.50","2,431.70","9.29K","14.14%"
"Nov 01, 2021","2,452.90","2,423.80","2,541.50","2,347.70","4.00K","1.29%"
"Oct 31, 2021","2,421.60","2,379.40","2,425.20","2,326.50","2.76K","1.80%"
"Oct 30, 2021","2,378.80","2,452.80","2,474.00","2,353.30","2.06K","-2.87%"
"Oct 29, 2021","2,449.20","2,379.80","2,474.20","2,366.00","2.79K","2.93%"
"Oct 28, 2021","2,379.50","2,223.70","2,414.10","2,210.20","2.10K","7.01%"
"Oct 27, 2021","2,223.70","2,460.70","2,505.00","2,208.20","4.94K","-9.60%"
"Oct 26, 2021","2,459.80","2,473.90","2,560.80","2,438.30","4.22K","-0.55%"
"Oct 25, 2021","2,473.30","2,437.70","2,480.40","2,428.40","2.25K","1.39%"
"Oct 24, 2021","2,439.30","2,526.30","2,528.70","2,384.80","2.13K","-3.43%"
"Oct 23, 2021","2,526.00","2,518.80","2,544.10","2,491.00","1.12K","0.25%"
"Oct 22, 2021","2,519.80","2,570.80","2,623.60","2,499.20","1.88K","-2.02%"
"Oct 21, 2021","2,571.70","2,593.70","2,705.00","2,547.70","3.41K","-0.83%"
"Oct 20, 2021","2,593.20","2,491.60","2,598.00","2,460.60","2.18K","4.07%"
"Oct 19, 2021","2,491.90","2,508.60","2,525.50","2,444.30","1.85K","-0.67%"
"Oct 18, 2021","2,508.60","2,551.30","2,575.80","2,432.00","2.18K","-1.69%"
"Oct 17, 2021","2,551.70","2,596.00","2,635.50","2,475.60","1.32K","-1.59%"
"Oct 16, 2021","2,592.90","2,569.60","2,684.00","2,557.10","1.97K","0.92%"
"Oct 15, 2021","2,569.20","2,543.30","2,596.60","2,470.70","2.10K","1.06%"
"Oct 14, 2021","2,542.30","2,492.80","2,614.60","2,479.80","2.19K","1.97%"
"Oct 13, 2021","2,493.10","2,441.90","2,493.80","2,369.60","1.95K","2.20%"
"Oct 12, 2021","2,439.50","2,447.60","2,504.40","2,357.70","2.83K","-0.33%"
"Oct 11, 2021","2,447.60","2,457.10","2,559.70","2,396.10","1.91K","-0.39%"
"Oct 10, 2021","2,457.10","2,573.00","2,725.60","2,438.50","4.51K","-4.50%"
"Oct 09, 2021","2,572.90","2,498.60","2,621.40","2,469.30","2.31K","3.20%"
"Oct 08, 2021","2,493.10","2,499.60","2,577.20","2,458.30","2.08K","-0.19%"
"Oct 07, 2021","2,497.80","2,488.10","2,536.60","2,417.60","1.95K","0.38%"
"Oct 06, 2021","2,488.40","2,543.70","2,586.90","2,386.10","2.70K","-2.12%"
"Oct 05, 2021","2,542.30","2,548.30","2,591.70","2,481.40","2.33K","-0.22%"
"Oct 04, 2021","2,547.80","2,542.30","2,555.50","2,369.70","2.63K","0.22%"
"Oct 03, 2021","2,542.30","2,477.50","2,617.70","2,433.60","2.30K","2.60%"
"Oct 02, 2021","2,477.90","2,444.70","2,558.80","2,386.60","3.15K","1.41%"
"Oct 01, 2021","2,443.50","2,287.70","2,471.90","2,265.40","5.03K","6.77%"
"Sep 30, 2021","2,288.50","2,230.10","2,314.40","2,215.50","2.55K","2.60%"
"Sep 29, 2021","2,230.50","2,225.70","2,314.90","2,176.50","2.65K","0.09%"
"Sep 28, 2021","2,228.60","2,243.70","2,431.90","2,213.80","4.49K","-0.68%"
"Sep 27, 2021","2,243.80","2,350.20","2,424.60","2,235.10","2.75K","-4.67%"
"Sep 26, 2021","2,353.70","2,259.80","2,568.00","2,162.70","14.01K","4.14%"
"Sep 25, 2021","2,260.20","2,294.80","2,325.00","2,200.30","1.65K","-1.49%"
"Sep 24, 2021","2,294.40","2,488.30","2,505.20","2,155.70","5.15K","-7.84%"
"Sep 23, 2021","2,489.50","2,527.60","2,568.70","2,453.10","3.18K","-1.40%"
"Sep 22, 2021","2,524.90","2,290.90","2,542.30","2,262.80","1.79K","10.49%"
"Sep 21, 2021","2,285.20","2,436.50","2,540.70","2,228.20","2.94K","-6.18%"
"Sep 20, 2021","2,435.80","2,768.20","2,773.30","2,390.60","4.62K","-11.93%"
"Sep 19, 2021","2,765.70","2,839.00","2,875.80","2,725.10","1.41K","-2.61%"
"Sep 18, 2021","2,839.70","2,792.40","2,902.60","2,754.60","1.12K","1.83%"
"Sep 17, 2021","2,788.70","2,967.70","2,993.00","2,756.10","4.13K","-6.01%"
"Sep 16, 2021","2,966.90","3,059.60","3,165.50","2,914.60","3.55K","-3.08%"
"Sep 15, 2021","3,061.10","2,923.10","3,077.00","2,825.90","3.40K","4.85%"
"Sep 14, 2021","2,919.60","2,810.10","2,942.70","2,785.30","2.24K","3.89%"
"Sep 13, 2021","2,810.40","2,877.70","2,898.30","2,627.70","2.11K","-2.29%"
"Sep 12, 2021","2,876.30","2,844.90","2,965.80","2,791.30","1.92K","1.03%"
"Sep 11, 2021","2,846.90","2,785.60","2,914.60","2,771.30","1.58K","2.34%"
"Sep 10, 2021","2,781.80","2,936.70","2,990.70","2,719.80","2.59K","-5.26%"
