"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 25, 2021","435.49","423.13","437.95","412.01","43.04K","2.91%"
"Aug 24, 2021","423.16","465.41","469.94","414.45","85.97K","-9.07%"
"Aug 23, 2021","465.38","459.89","484.01","456.10","115.32K","1.17%"
"Aug 22, 2021","460.00","462.36","482.70","446.45","60.66K","-0.58%"
"Aug 21, 2021","462.69","480.11","483.79","456.08","69.31K","-3.59%"
"Aug 20, 2021","479.94","459.18","492.70","452.09","74.41K","4.78%"
"Aug 19, 2021","458.04","436.46","458.13","419.60","56.05K","5.12%"
"Aug 18, 2021","435.71","446.59","459.59","421.39","86.11K","-2.59%"
"Aug 17, 2021","447.31","468.64","516.72","442.62","110.27K","-4.69%"
"Aug 16, 2021","469.34","488.86","529.29","468.13","125.23K","-3.98%"
"Aug 15, 2021","488.79","476.97","491.41","449.04","72.66K","2.44%"
"Aug 14, 2021","477.16","483.69","485.67","456.44","56.75K","-1.38%"
"Aug 13, 2021","483.82","453.87","484.41","450.11","41.36K","6.75%"
"Aug 12, 2021","453.24","467.78","481.68","440.23","66.00K","-3.16%"
"Aug 11, 2021","468.01","472.77","497.87","465.06","68.31K","-0.97%"
"Aug 10, 2021","472.58","466.94","484.76","459.59","41.72K","1.15%"
"Aug 09, 2021","467.22","467.39","487.31","445.00","43.88K","0.07%"
"Aug 08, 2021","466.90","507.29","512.56","456.68","40.21K","-8.03%"
"Aug 07, 2021","507.64","466.65","507.64","461.00","84.38K","8.86%"
"Aug 06, 2021","466.33","475.65","484.50","450.44","57.08K","-1.92%"
"Aug 05, 2021","475.44","464.81","495.00","436.80","132.51K","2.35%"
"Aug 04, 2021","464.52","396.63","472.38","391.20","103.32K","17.11%"
"Aug 03, 2021","396.65","407.87","408.45","385.52","44.40K","-2.61%"
"Aug 02, 2021","407.26","409.52","425.61","393.68","66.29K","-0.56%"
"Aug 01, 2021","409.55","406.01","424.96","392.71","56.20K","1.09%"
"Jul 31, 2021","405.14","404.28","409.68","393.29","37.39K","0.31%"
"Jul 30, 2021","403.89","397.56","410.94","382.00","58.14K","1.75%"
"Jul 29, 2021","396.94","388.31","401.49","378.91","46.48K","2.37%"
"Jul 28, 2021","387.75","392.64","400.00","380.95","49.48K","-1.27%"
"Jul 27, 2021","392.75","391.54","407.62","376.25","85.63K","0.11%"
"Jul 26, 2021","392.33","391.35","438.13","385.29","131.49K","0.31%"
"Jul 25, 2021","391.11","383.49","391.30","370.27","79.76K","-3.48%"
"Jul 24, 2021","405.23","418.00","418.20","402.23","64.12K","-2.90%"
"Jul 23, 2021","417.35","416.52","426.62","386.63","79.10K","0.76%"
"Jul 22, 2021","414.20","376.85","415.00","368.83","108.53K","10.04%"
"Jul 21, 2021","376.41","349.44","398.48","339.28","99.12K","7.71%"
"Jul 20, 2021","349.48","339.17","360.25","310.33","87.92K","3.09%"
"Jul 19, 2021","339.00","378.80","379.32","335.18","86.14K","-10.57%"
"Jul 18, 2021","379.07","378.13","398.69","372.23","46.94K","0.17%"
"Jul 17, 2021","378.42","368.26","387.41","365.57","44.46K","3.01%"
"Jul 16, 2021","367.38","398.03","409.55","367.38","60.85K","-8.01%"
"Jul 15, 2021","399.37","409.96","431.35","393.25","142.49K","-2.77%"
"Jul 14, 2021","410.76","387.58","424.16","360.28","95.78K","6.19%"
"Jul 13, 2021","386.83","412.58","417.05","381.23","55.47K","-6.53%"
"Jul 12, 2021","413.86","436.30","443.64","402.21","62.73K","-4.88%"
"Jul 11, 2021","435.08","423.38","456.65","414.68","78.27K","2.87%"
