Date,Price,Open,High,Low,Vol.,Change %
"Nov 24, 2021",254.5,269.91,272.01,251.3,118.90K,-5.71%
"Nov 23, 2021",269.91,263.78,277.41,261.49,192.92K,2.32%
"Nov 22, 2021",263.78,266.61,268.78,256.4,121.66K,-1.27%
"Nov 21, 2021",267.18,274.1,274.31,264.2,103.43K,-2.52%
"Nov 20, 2021",274.09,279.19,280.89,267.41,108.39K,-1.82%
"Nov 19, 2021",279.19,262.51,280.41,257.89,110.47K,6.35%
"Nov 18, 2021",262.51,284.59,287.7,255.88,138.82K,-7.76%
"Nov 17, 2021",284.6,278.21,287.3,267.91,139.96K,2.26%
"Nov 16, 2021",278.3,301.69,301.69,264.12,240.62K,-7.75%
"Nov 15, 2021",301.69,315.11,317.19,299.4,125.97K,-4.26%
"Nov 14, 2021",315.11,312.5,317.49,309.8,90.38K,0.83%
"Nov 13, 2021",312.5,308.38,314.49,303.12,85.27K,1.34%
"Nov 12, 2021",308.38,312.11,313.72,296.5,125.25K,-1.19%
"Nov 11, 2021",312.11,312.79,319.2,307.2,105.35K,-0.22%
"Nov 10, 2021",312.8,336.5,345.61,296.74,274.97K,-7.04%
"Nov 09, 2021",336.47,331.81,349.22,326.54,274.71K,1.41%
"Nov 08, 2021",331.81,319.61,334.91,318.51,129.79K,3.82%
"Nov 07, 2021",319.61,318.19,323.7,316.61,69.92K,0.45%
"Nov 06, 2021",318.19,326.13,327.3,307.49,122.07K,-2.57%
"Nov 05, 2021",326.6,333.21,346.27,324.32,185.47K,-1.98%
"Nov 04, 2021",333.21,325.04,335.6,313.2,179.63K,2.74%
"Nov 03, 2021",324.31,324.77,325.4,311.12,163.57K,0.02%
"Nov 02, 2021",324.23,324.03,328.1,317.78,94.45K,0.06%
"Nov 01, 2021",324.03,313.99,324.29,302.68,139.46K,3.19%
"Oct 31, 2021",314.02,318.19,322.82,302.78,126.14K,-1.28%
"Oct 30, 2021",318.1,327.71,328.5,312.71,153.21K,-2.93%
"Oct 29, 2021",327.71,339.04,347.59,324.82,219.43K,-3.15%
"Oct 28, 2021",338.38,324.49,349.2,317.68,385.53K,4.28%
"Oct 27, 2021",324.51,329.17,459.98,323.32,1.46M,-1.42%
"Oct 26, 2021",329.17,313.12,345.38,312.3,226.55K,5.12%
"Oct 25, 2021",313.12,307.52,316.51,306.54,73.24K,1.76%
"Oct 24, 2021",307.7,324.09,325.2,300.09,84.76K,-5.06%
"Oct 23, 2021",324.09,310.17,324.09,307.6,62.90K,4.46%
"Oct 22, 2021",310.26,314.95,326.61,306.51,91.95K,-1.49%
"Oct 21, 2021",314.95,316.5,337.8,311.07,163.02K,-0.48%
"Oct 20, 2021",316.48,303.59,317.57,296.52,95.13K,4.24%
"Oct 19, 2021",303.6,294.21,304.2,292.68,72.98K,3.19%
"Oct 18, 2021",294.21,304.4,308.19,290.07,73.12K,-3.35%
"Oct 17, 2021",304.4,304.5,320.75,292.65,108.01K,-0.03%
"Oct 16, 2021",304.5,301.31,316.3,299.6,102.90K,1.06%
"Oct 15, 2021",301.31,303.67,304.91,292.34,98.99K,-0.78%
"Oct 14, 2021",303.67,297.39,310.87,293.5,137.66K,2.05%
"Oct 13, 2021",297.57,283.98,301.5,282.18,141.06K,4.78%
"Oct 12, 2021",283.99,290.6,290.6,271,108.46K,-2.27%
"Oct 11, 2021",290.6,288.07,301.72,283.59,70.38K,0.87%
"Oct 10, 2021",288.09,306.91,307.69,287.36,62.12K,-6.13%
"Oct 09, 2021",306.91,307.31,313.02,304.31,51.39K,-0.13%
"Oct 08, 2021",307.31,305.7,323.53,303.39,117.29K,0.53%
"Oct 07, 2021",305.68,311.79,313.68,299.3,105.16K,-1.96%
"Oct 06, 2021",311.79,307.78,317.09,285.27,173.74K,1.30%
"Oct 05, 2021",307.78,300.75,309.8,296.4,110.96K,2.28%
"Oct 04, 2021",300.93,310.5,310.87,291.78,136.13K,-3.08%
"Oct 03, 2021",310.5,313.75,323.23,308.5,121.17K,-1.23%
"Oct 02, 2021",314.36,302.57,323.46,297.03,151.65K,3.90%
"Oct 01, 2021",302.57,276.49,303.49,272.26,156.91K,9.43%
"Sep 30, 2021",276.49,265.2,281.15,263.75,88.04K,4.26%
"Sep 29, 2021",265.2,260.82,277.39,259.37,106.00K,1.68%
"Sep 28, 2021",260.82,273.13,277.52,260.02,128.91K,-4.51%
"Sep 27, 2021",273.13,293.83,308.13,273.1,144.74K,-7.04%
"Sep 26, 2021",293.83,274.39,300.22,252.38,232.78K,7.08%
"Sep 25, 2021",274.39,280.79,283.91,268.27,101.05K,-2.27%
"Sep 24, 2021",280.77,308.91,311.04,262.82,209.92K,-9.09%
"Sep 23, 2021",308.82,301.79,309.21,294.52,116.64K,2.33%
"Sep 22, 2021",301.79,270.56,303.04,266.19,187.85K,11.54%
"Sep 21, 2021",270.56,291.1,306.77,260.67,200.11K,-7.03%
"Sep 20, 2021",291.01,340.09,340.61,287.81,244.18K,-14.43%
"Sep 19, 2021",340.09,355.2,357.82,335.59,99.17K,-4.30%
"Sep 18, 2021",355.38,354.01,368.78,347.01,113.12K,0.40%
"Sep 17, 2021",353.98,384.04,389.4,350.22,174.40K,-7.83%
"Sep 16, 2021",384.04,414.91,414.91,371.01,260.26K,-7.75%
"Sep 15, 2021",416.32,383.67,416.36,376.61,299.13K,8.51%
"Sep 14, 2021",383.67,330.91,389.69,327.99,320.00K,15.97%
"Sep 13, 2021",330.83,333.48,337.29,303.69,154.16K,-0.79%
"Sep 12, 2021",333.48,328.44,348.28,322.2,122.01K,1.53%
"Sep 11, 2021",328.44,312.1,340.01,310.91,109.64K,5.23%
"Sep 10, 2021",312.1,330.04,340.11,304.92,168.34K,-5.43%
"Sep 09, 2021",330.02,330.01,350.32,326.29,162.78K,0.01%
"Sep 08, 2021",329.98,344.75,353.11,312.71,258.47K,-4.25%
"Sep 07, 2021",344.63,408.69,409.29,310.6,350.22K,-15.66%
"Sep 06, 2021",408.6,416.8,424.9,395.89,151.24K,-1.96%
"Sep 05, 2021",416.79,397.8,425.2,395.08,186.52K,4.77%
"Sep 04, 2021",397.8,394.9,406.6,390.7,93.60K,0.73%
"Sep 03, 2021",394.9,399.61,407.89,388.4,133.59K,-1.18%
"Sep 02, 2021",399.61,413.19,414.99,399,108.25K,-3.29%
"Sep 01, 2021",413.19,392.07,413.89,382.19,243.69K,5.38%
"Aug 31, 2021",392.08,357.7,396.3,350.7,229.46K,9.61%
"Aug 30, 2021",357.69,364.09,376.89,347.04,121.93K,-1.77%
"Aug 29, 2021",364.12,367.09,377.32,355.88,88.77K,-0.81%
"Aug 28, 2021",367.09,372.61,375.58,362.2,68.58K,-1.48%
"Aug 27, 2021",372.61,350.15,375.21,344.21,120.77K,6.42%
"Aug 26, 2021",350.12,384.21,389.1,344.18,121.57K,-8.87%
"Aug 25, 2021",384.21,378.16,385.94,363.89,108.41K,1.60%
"Aug 24, 2021",378.16,408.33,413.91,370.52,126.24K,-7.39%
"Aug 23, 2021",408.31,400.96,415.14,399.45,139.75K,1.84%
"Aug 22, 2021",400.96,399.84,408.44,386.63,88.07K,0.28%
"Aug 21, 2021",399.84,409.19,415.39,393.43,145.06K,-2.28%
"Aug 20, 2021",409.19,405.27,420.72,403.54,155.02K,0.99%
"Aug 19, 2021",405.18,380.45,405.18,371.25,161.19K,6.49%
"Aug 18, 2021",380.47,381.24,397.45,361.82,233.09K,-0.20%
"Aug 17, 2021",381.24,412.94,448.28,380.82,286.39K,-7.68%
"Aug 16, 2021",412.95,410.27,446.61,408.97,283.25K,0.65%
"Aug 15, 2021",410.28,414.5,415.95,391.46,134.51K,-1.02%
"Aug 14, 2021",414.5,427.5,427.88,404.48,112.54K,-3.04%
"Aug 13, 2021",427.5,392.05,428,388.28,156.78K,9.04%
"Aug 12, 2021",392.05,402.88,417.83,376.23,151.92K,-2.69%
"Aug 11, 2021",402.88,384.13,419.78,382.84,214.25K,4.86%
"Aug 10, 2021",384.22,374.34,399.9,368.24,175.51K,2.64%
"Aug 09, 2021",374.34,360.73,384.6,347.48,148.79K,3.77%
"Aug 08, 2021",360.73,385.07,389.19,352.15,129.77K,-6.34%
"Aug 07, 2021",385.16,369.6,398.97,365.37,214.46K,4.31%
"Aug 06, 2021",369.25,372.78,378.56,358.38,184.32K,-0.95%
"Aug 05, 2021",372.78,339.01,381.92,337.26,405.92K,9.96%
"Aug 04, 2021",339.01,308.73,342.75,300.64,174.06K,9.97%
"Aug 03, 2021",308.28,320.54,323.98,302.35,121.53K,-3.83%
"Aug 02, 2021",320.55,316.45,328.81,309.63,121.23K,1.28%
"Aug 01, 2021",316.49,331.12,339.56,314.68,163.78K,-4.33%
"Jul 31, 2021",330.81,320.47,332.82,313.59,136.27K,3.23%
"Jul 30, 2021",320.47,311.99,323.68,300.37,187.14K,2.88%
"Jul 29, 2021",311.5,297.72,315.55,293.12,172.60K,4.63%
"Jul 28, 2021",297.72,300.18,308.61,292.69,199.09K,-0.82%
"Jul 27, 2021",300.19,302.53,312.25,284.9,339.84K,-0.85%
"Jul 26, 2021",302.76,287.96,335.33,285.94,482.00K,5.14%
"Jul 25, 2021",287.96,285.05,289.41,272.28,148.80K,-1.08%
"Jul 24, 2021",291.11,289.76,298.98,286.39,205.18K,0.47%
"Jul 23, 2021",289.76,278.42,292.53,268.91,230.79K,4.07%
"Jul 22, 2021",278.42,259.07,280.28,256.81,238.67K,7.48%
"Jul 21, 2021",259.05,223.25,262.54,217.42,265.10K,16.03%
"Jul 20, 2021",223.25,238.24,242.12,212.94,205.38K,-6.28%
"Jul 19, 2021",238.22,253.69,255.48,233.31,160.44K,-6.27%
"Jul 18, 2021",254.14,252.69,267.64,250.94,115.84K,0.58%
"Jul 17, 2021",252.69,253.14,258.01,246.67,144.45K,-0.39%
"Jul 16, 2021",253.67,271.85,279.58,252.8,171.59K,-6.68%
"Jul 15, 2021",271.85,279.42,287.74,265.68,264.21K,-2.71%
"Jul 14, 2021",279.42,271.19,285.26,252.58,321.45K,3.03%
"Jul 13, 2021",271.19,297.1,297.51,267.79,208.84K,-8.72%
"Jul 12, 2021",297.1,304.49,321.7,291.59,263.42K,-2.43%
"Jul 11, 2021",304.49,294.58,310.02,287.06,183.16K,3.36%
"Jul 10, 2021",294.58,303.23,311.52,288.58,193.42K,-2.85%
"Jul 09, 2021",303.23,293.12,314.31,277.15,438.40K,3.45%
"Jul 08, 2021",293.12,314.94,315.29,276.52,569.46K,-6.93%
"Jul 07, 2021",314.94,316.34,331.33,310.64,323.26K,-0.57%
"Jul 06, 2021",316.74,307.92,346.72,307.91,727.32K,2.63%
"Jul 05, 2021",308.63,277.09,317.27,262.3,629.44K,11.38%
"Jul 04, 2021",277.09,261.15,288.93,261.1,306.73K,6.11%
"Jul 03, 2021",261.15,234.23,265.42,228.28,287.84K,11.49%
"Jul 02, 2021",234.23,230.82,234.56,215.9,197.94K,1.48%
"Jul 01, 2021",230.82,250.72,251.99,227.77,253.28K,-7.87%
"Jun 30, 2021",250.53,236.61,252.36,220.09,16.96K,5.88%
"Jun 29, 2021",236.61,226.52,252.84,226.43,18.34K,4.45%
"Jun 28, 2021",226.52,203.04,232.82,200.55,15.15K,11.56%
"Jun 27, 2021",203.04,186.96,203.04,183.3,16.45K,8.60%
"Jun 26, 2021",186.96,187.1,193.33,176.46,15.19K,-0.07%
"Jun 25, 2021",187.1,211.3,214.73,185.11,19.07K,-11.45%
"Jun 24, 2021",211.3,207.88,217.83,193.19,18.89K,1.65%
"Jun 23, 2021",207.88,205.9,229.31,197.42,33.82K,0.96%
"Jun 22, 2021",205.9,212.27,222.72,170.4,60.49K,-3.53%
"Jun 21, 2021",213.44,272.8,275.43,206.36,37.71K,-21.77%
"Jun 20, 2021",272.85,254.75,277.06,242.28,17.48K,7.11%
"Jun 19, 2021",254.75,265.03,269.76,254.67,9.90K,-3.62%
"Jun 18, 2021",264.31,293.31,293.6,253.13,14.70K,-9.85%
"Jun 17, 2021",293.18,290.41,305.22,285.36,9.50K,0.95%
"Jun 16, 2021",290.41,311.91,313.71,287.37,10.89K,-7.07%
"Jun 15, 2021",312.49,318.16,327.18,307.87,11.80K,-1.78%
"Jun 14, 2021",318.16,316.37,335.18,309.06,20.61K,0.57%
"Jun 13, 2021",316.37,278.24,317.94,266.71,15.81K,13.70%
"Jun 12, 2021",278.24,285.2,289.27,266.2,18.26K,-2.44%
"Jun 11, 2021",285.2,310.08,314.9,280.66,16.14K,-8.02%
"Jun 10, 2021",310.08,338.47,339.56,304.78,14.24K,-8.39%
"Jun 09, 2021",338.47,330.12,342.22,306.23,23.45K,2.53%
"Jun 08, 2021",330.12,334.78,338.99,297.16,25.96K,-1.43%
"Jun 07, 2021",334.92,365.29,387.56,331.97,21.86K,-8.31%
"Jun 06, 2021",365.29,356.64,368.31,354.65,9.15K,2.43%
"Jun 05, 2021",356.64,372.98,391.4,347.69,21.45K,-4.38%
"Jun 04, 2021",372.98,398.54,398.79,346.7,25.46K,-6.14%
"Jun 03, 2021",397.38,384.14,408.81,376.2,23.98K,3.45%
"Jun 02, 2021",384.14,372.55,401.45,362.24,26.33K,3.11%
"Jun 01, 2021",372.55,383,391.9,361.37,39.09K,-2.73%
