,Date,Price,Open,High,Low,Vol.,Change %,Vol
291,"Mar 15, 2021",366.91,379.82,389.62,355.00,,-3.68%,9.65K
292,"Mar 14, 2021",380.92,413.88,418.01,377.13,,-7.96%,10.26K
293,"Mar 13, 2021",413.88,374.38,427.88,360.02,,10.51%,13.45K
294,"Mar 12, 2021",374.53,405.02,408.28,361.50,,-7.53%,12.41K
295,"Mar 11, 2021",405.02,406.58,414.44,388.78,,-0.38%,12.76K
296,"Mar 10, 2021",406.58,444.08,457.97,400.43,,-8.44%,15.70K
297,"Mar 09, 2021",444.08,436.79,448.60,417.18,,1.67%,17.77K
298,"Mar 08, 2021",436.79,414.20,436.79,392.27,,5.45%,27.46K
299,"Mar 07, 2021",414.20,388.26,418.91,384.31,,6.68%,28.54K
300,"Mar 06, 2021",388.26,367.01,390.74,352.33,,5.68%,11.04K
301,"Mar 05, 2021",367.38,374.14,376.77,340.64,,-1.81%,16.88K
302,"Mar 04, 2021",374.14,396.26,410.36,366.29,,-5.58%,15.07K
303,"Mar 03, 2021",396.26,390.62,418.45,383.90,,1.39%,15.87K
304,"Mar 02, 2021",390.81,385.22,416.91,377.00,,1.45%,30.39K
305,"Mar 01, 2021",385.22,353.96,388.44,351.16,,8.99%,33.39K
306,"Feb 28, 2021",353.46,332.73,365.29,301.02,,6.44%,30.73K
307,"Feb 27, 2021",332.07,323.31,349.79,323.31,,2.97%,19.87K
308,"Feb 26, 2021",322.49,339.35,352.86,304.22,,-4.57%,25.79K
309,"Feb 25, 2021",337.92,367.51,388.32,335.37,,-8.05%,15.27K
310,"Feb 24, 2021",367.51,364.27,405.34,342.02,,0.89%,24.48K
311,"Feb 23, 2021",364.27,399.49,403.10,286.29,,-8.82%,31.37K
312,"Feb 22, 2021",399.49,437.24,447.92,357.86,,-8.63%,19.92K
313,"Feb 21, 2021",437.24,441.48,454.53,425.52,,-0.96%,10.98K
314,"Feb 20, 2021",441.48,419.53,497.49,408.00,,5.14%,30.93K
315,"Feb 19, 2021",419.90,441.79,447.83,407.41,,-4.95%,12.58K
316,"Feb 18, 2021",441.79,450.79,478.52,435.27,,-2.00%,8.31K
317,"Feb 17, 2021",450.79,432.75,464.43,400.32,,4.11%,11.54K
318,"Feb 16, 2021",433.00,455.25,478.23,423.33,,-4.89%,14.78K
319,"Feb 15, 2021",455.25,468.72,496.34,389.86,,-2.87%,16.09K
320,"Feb 14, 2021",468.72,494.71,508.81,460.88,,-5.25%,11.49K
321,"Feb 13, 2021",494.71,528.34,542.33,488.33,,-6.37%,12.74K
322,"Feb 12, 2021",528.34,517.39,543.37,500.26,,2.12%,10.92K
323,"Feb 11, 2021",517.39,523.64,541.42,508.58,,-1.19%,9.69K
324,"Feb 10, 2021",523.64,487.98,578.10,487.98,,7.31%,17.10K
325,"Feb 09, 2021",487.98,489.43,509.92,471.56,,-0.29%,9.80K
326,"Feb 08, 2021",489.42,472.84,530.35,464.89,,3.51%,13.86K
327,"Feb 07, 2021",472.83,473.41,481.68,394.85,,-0.12%,13.61K
328,"Feb 06, 2021",473.41,504.59,509.73,441.90,,-6.18%,18.20K
329,"Feb 05, 2021",504.59,467.42,541.53,465.87,,7.95%,20.19K
330,"Feb 04, 2021",467.42,384.61,518.51,384.61,,21.53%,38.15K
331,"Feb 03, 2021",384.61,303.04,385.46,300.72,,27.00%,12.43K
332,"Feb 02, 2021",302.85,295.14,306.78,286.02,,2.60%,6.12K
333,"Feb 01, 2021",295.17,300.08,306.79,284.04,,-1.61%,5.83K
334,"Jan 31, 2021",300.00,315.11,318.91,293.11,,-4.99%,5.50K
335,"Jan 30, 2021",315.75,287.76,323.54,282.53,,9.73%,8.58K
336,"Jan 29, 2021",287.76,296.83,307.93,271.92,,-3.06%,9.33K
337,"Jan 28, 2021",296.83,286.31,308.58,275.00,,3.68%,8.36K
338,"Jan 27, 2021",286.31,277.32,298.02,256.29,,3.24%,12.89K
339,"Jan 26, 2021",277.32,247.27,287.19,240.94,,12.15%,3.87K
340,"Jan 25, 2021",247.27,266.00,282.90,239.06,,-7.04%,4.56K
341,"Jan 24, 2021",266.00,213.05,288.85,212.68,,24.85%,5.07K
342,"Jan 23, 2021",213.05,190.73,219.90,185.99,,11.70%,3.47K
