"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2021","2.0934","2.1831","2.1977","2.0794","3.29M","-3.99%"
"Aug 27, 2021","2.1805","2.0488","2.1928","1.9857","5.06M","6.50%"
"Aug 26, 2021","2.0474","2.1982","2.2382","2.0105","5.33M","-6.86%"
"Aug 25, 2021","2.1982","2.0970","2.2495","2.0884","10.54M","4.82%"
"Aug 24, 2021","2.0971","2.3649","2.3860","2.0829","12.81M","-11.35%"
"Aug 23, 2021","2.3656","2.4416","2.5121","2.2808","12.34M","-3.11%"
"Aug 22, 2021","2.4415","2.2205","2.4660","2.1803","14.24M","9.95%"
"Aug 21, 2021","2.2205","2.2686","2.3241","2.1514","7.75M","-2.18%"
"Aug 20, 2021","2.2700","2.1512","2.3415","2.1277","9.61M","5.57%"
"Aug 19, 2021","2.1502","1.9161","2.1514","1.8716","7.99M","12.37%"
"Aug 18, 2021","1.9135","1.9212","2.0141","1.8459","6.90M","-0.49%"
"Aug 17, 2021","1.9229","2.1214","2.2353","1.9076","9.53M","-9.46%"
"Aug 16, 2021","2.1237","2.2209","2.2862","2.0894","7.35M","-4.34%"
"Aug 15, 2021","2.2201","2.2612","2.2902","2.0842","5.27M","-1.80%"
"Aug 14, 2021","2.2609","2.3614","2.3614","2.1602","5.29M","-4.29%"
"Aug 13, 2021","2.3622","2.0326","2.3774","2.0237","8.19M","16.46%"
"Aug 12, 2021","2.0284","2.0374","2.1497","1.9256","6.57M","-0.52%"
"Aug 11, 2021","2.0391","2.0675","2.1922","2.0289","9.20M","-1.44%"
"Aug 10, 2021","2.0689","1.8754","2.0736","1.8312","6.91M","10.31%"
"Aug 09, 2021","1.8755","1.7574","1.9074","1.7087","5.08M","6.80%"
"Aug 08, 2021","1.7561","1.9148","1.9374","1.7212","4.21M","-8.26%"
"Aug 07, 2021","1.9142","1.9239","1.9780","1.8184","6.86M","-0.37%"
"Aug 06, 2021","1.9213","1.7709","1.9718","1.6965","7.42M","8.43%"
"Aug 05, 2021","1.7719","1.6235","1.8234","1.5880","7.35M","9.15%"
"Aug 04, 2021","1.6233","1.5703","1.6463","1.5333","4.23M","3.55%"
"Aug 03, 2021","1.5677","1.6229","1.6379","1.5357","3.66M","-3.60%"
"Aug 02, 2021","1.6263","1.6588","1.6928","1.6067","4.47M","-1.89%"
"Aug 01, 2021","1.6576","1.7105","1.7795","1.6350","4.38M","-2.68%"
"Jul 31, 2021","1.7033","1.6987","1.7589","1.6499","4.98M","0.46%"
"Jul 30, 2021","1.6955","1.6232","1.7053","1.5264","5.16M","4.56%"
"Jul 29, 2021","1.6216","1.5443","1.6315","1.5100","4.36M","5.22%"
"Jul 28, 2021","1.5412","1.5693","1.5822","1.4960","3.71M","-2.02%"
"Jul 27, 2021","1.5730","1.5304","1.5857","1.4735","3.87M","2.74%"
"Jul 26, 2021","1.5310","1.5242","1.7064","1.5169","7.90M","0.48%"
"Jul 25, 2021","1.5237","1.5401","1.5407","1.4601","2.91M","-2.29%"
"Jul 24, 2021","1.5594","1.6010","1.6169","1.5433","3.10M","-2.54%"
"Jul 23, 2021","1.6000","1.5428","1.6160","1.4796","4.50M","3.85%"
"Jul 22, 2021","1.5407","1.4489","1.5491","1.4158","4.60M","6.53%"
"Jul 21, 2021","1.4463","1.2806","1.4709","1.2453","5.58M","12.98%"
"Jul 20, 2021","1.2801","1.3424","1.3708","1.2246","4.78M","-4.58%"
"Jul 19, 2021","1.3415","1.4108","1.4200","1.3241","3.06M","-5.05%"
"Jul 18, 2021","1.4129","1.4265","1.5078","1.3936","2.94M","-0.87%"
"Jul 17, 2021","1.4253","1.4180","1.4628","1.3963","3.67M","0.44%"
"Jul 16, 2021","1.4190","1.5055","1.5427","1.4115","3.84M","-5.45%"
"Jul 15, 2021","1.5008","1.5981","1.6492","1.4862","3.90M","-6.09%"
"Jul 14, 2021","1.5981","1.6042","1.6301","1.5040","3.70M","-0.32%"
"Jul 13, 2021","1.6032","1.6784","1.6900","1.5667","2.94M","-4.55%"
"Jul 12, 2021","1.6796","1.7612","1.7884","1.6419","2.72M","-4.38%"
"Jul 11, 2021","1.7565","1.7493","1.7798","1.7177","2.73M","0.23%"
"Jul 10, 2021","1.7524","1.7673","1.8080","1.6611","2.84M","-0.74%"
"Jul 09, 2021","1.7655","1.7554","1.7949","1.6791","3.85M","0.39%"
