,Date,Price,Open,High,Low,Vol.,Change %,Vol
199,"Sep 14, 2021",2919.60,"2,810.10","2,942.70","2,785.30",,3.89%,2.24K
200,"Sep 13, 2021",2810.40,"2,877.70","2,898.30","2,627.70",,-2.29%,2.11K
201,"Sep 12, 2021",2876.30,"2,844.90","2,965.80","2,791.30",,1.03%,1.92K
202,"Sep 11, 2021",2846.90,"2,785.60","2,914.60","2,771.30",,2.34%,1.58K
203,"Sep 10, 2021",2781.80,"2,936.70","2,990.70","2,719.80",,-5.26%,2.59K
204,"Sep 09, 2021",2936.10,"3,021.70","3,093.80","2,907.40",,-2.72%,3.49K
205,"Sep 08, 2021",3018.20,"3,053.90","3,131.00","2,812.00",,-0.59%,4.51K
206,"Sep 07, 2021",3036.00,"3,619.70","3,623.70","2,775.70",,-16.13%,6.72K
207,"Sep 06, 2021",3620.00,"3,718.60","3,721.40","3,552.80",,-2.67%,2.94K
208,"Sep 05, 2021",3719.30,"3,547.70","3,720.50","3,525.30",,4.79%,2.25K
209,"Sep 04, 2021",3549.20,"3,655.60","3,719.80","3,539.20",,-2.71%,1.97K
210,"Sep 03, 2021",3648.00,"3,547.70","3,747.40","3,477.60",,2.74%,3.18K
211,"Sep 02, 2021",3550.60,"3,694.20","3,699.30","3,549.60",,-3.81%,1.55K
212,"Sep 01, 2021",3691.30,"3,524.70","3,699.70","3,422.40",,4.77%,2.56K
213,"Aug 31, 2021",3523.10,"3,360.50","3,568.60","3,312.10",,4.89%,3.02K
214,"Aug 30, 2021",3359.00,"3,454.80","3,508.10","3,306.90",,-2.72%,2.34K
215,"Aug 29, 2021",3453.00,"3,603.90","3,677.40","3,385.00",,-4.20%,3.11K
216,"Aug 28, 2021",3604.20,"3,749.50","3,778.40","3,582.00",,-3.86%,1.97K
217,"Aug 27, 2021",3749.00,"3,588.80","3,790.20","3,544.40",,4.65%,1.83K
218,"Aug 26, 2021",3582.40,"3,701.40","3,744.20","3,442.10",,-3.22%,1.84K
