,Date,Price,Open,High,Low,Vol.,Change %,Vol
179,"Oct 05, 2021",25.6400,25.3400,25.8600,24.5800,,1.18%,2.09M
180,"Oct 04, 2021",25.3400,25.9700,26.0100,24.3000,,-2.54%,2.52M
181,"Oct 03, 2021",26.0000,26.1400,26.5900,25.7300,,-0.57%,2.18M
182,"Oct 02, 2021",26.1500,25.6200,27.2000,25.3800,,1.99%,3.78M
183,"Oct 01, 2021",25.6400,23.5400,25.8100,23.4900,,8.92%,4.26M
184,"Sep 30, 2021",23.5400,23.0200,23.9300,22.6500,,2.26%,3.03M
185,"Sep 29, 2021",23.0200,23.0400,24.2400,22.4300,,-0.26%,4.86M
186,"Sep 28, 2021",23.0800,22.3800,24.9500,22.2400,,3.13%,8.63M
187,"Sep 27, 2021",22.3800,24.0400,26.0200,22.2700,,-7.10%,8.60M
188,"Sep 26, 2021",24.0900,19.4700,24.6800,17.7500,,23.73%,12.45M
189,"Sep 25, 2021",19.4700,19.6600,20.1000,18.9600,,-0.97%,1.94M
190,"Sep 24, 2021",19.6600,21.5000,21.6100,18.2400,,-8.56%,3.29M
191,"Sep 23, 2021",21.5000,21.6000,21.8100,20.8800,,-0.60%,1.65M
192,"Sep 22, 2021",21.6300,19.0800,21.6400,18.8600,,13.78%,2.86M
193,"Sep 21, 2021",19.0100,20.9100,21.6200,18.3900,,-9.04%,3.71M
194,"Sep 20, 2021",20.9000,23.8900,23.9300,20.5500,,-12.52%,3.35M
195,"Sep 19, 2021",23.8900,24.5200,24.6300,23.5200,,-2.61%,1.10M
196,"Sep 18, 2021",24.5300,24.3100,25.1800,23.9500,,1.03%,1.34M
197,"Sep 17, 2021",24.2800,26.2500,26.3700,24.0100,,-7.43%,2.95M
198,"Sep 16, 2021",26.2300,27.4800,27.5900,25.3800,,-4.44%,3.60M
199,"Sep 15, 2021",27.4500,25.6800,27.4500,24.7000,,7.14%,3.78M
200,"Sep 14, 2021",25.6200,22.6600,25.8900,22.5100,,13.06%,3.50M
201,"Sep 13, 2021",22.6600,23.7400,24.0500,21.4100,,-4.51%,2.50M
202,"Sep 12, 2021",23.7300,22.7300,24.2400,22.1800,,4.45%,2.23M
203,"Sep 11, 2021",22.7200,22.3200,23.7800,22.2600,,1.88%,1.53M
204,"Sep 10, 2021",22.3000,23.3100,24.2300,21.4900,,-4.25%,2.59M
205,"Sep 09, 2021",23.2900,23.1500,24.6900,22.7600,,0.69%,3.35M
206,"Sep 08, 2021",23.1300,24.3400,24.9400,21.3800,,-4.42%,4.67M
