,Date,Price,Open,High,Low,Vol.,Change %,Vol
128,"Nov 25, 2021",287.90,277.10,290.90,274.50,,3.82%,46.53K
129,"Nov 24, 2021",277.30,291.80,292.80,271.20,,-4.97%,55.23K
130,"Nov 23, 2021",291.80,287.90,293.00,275.70,,1.35%,58.10K
131,"Nov 22, 2021",287.90,304.90,304.90,282.00,,-5.39%,83.34K
132,"Nov 21, 2021",304.30,314.70,315.30,303.50,,-3.27%,31.67K
133,"Nov 20, 2021",314.60,308.30,317.40,299.80,,2.01%,28.82K
134,"Nov 19, 2021",308.40,293.60,310.10,289.10,,4.86%,45.18K
135,"Nov 18, 2021",294.10,321.70,324.60,286.10,,-8.58%,64.52K
136,"Nov 17, 2021",321.70,312.60,324.80,305.60,,2.88%,53.30K
137,"Nov 16, 2021",312.70,332.30,332.30,297.20,,-6.04%,73.23K
138,"Nov 15, 2021",332.80,346.30,354.30,330.20,,-3.82%,47.92K
139,"Nov 14, 2021",346.00,354.60,359.90,337.10,,-2.32%,47.18K
140,"Nov 13, 2021",354.20,326.40,354.60,326.40,,8.55%,52.90K
141,"Nov 12, 2021",326.30,334.40,337.40,314.00,,-2.63%,60.68K
142,"Nov 11, 2021",335.10,326.30,344.00,320.40,,2.51%,57.22K
143,"Nov 10, 2021",326.90,356.20,363.90,309.00,,-8.20%,99.67K
144,"Nov 09, 2021",356.10,359.90,370.80,355.50,,-1.06%,60.27K
145,"Nov 08, 2021",359.90,362.90,362.90,351.70,,-0.69%,57.00K
146,"Nov 07, 2021",362.40,354.80,368.30,350.70,,2.11%,37.90K
147,"Nov 06, 2021",354.90,356.70,357.00,335.10,,-0.62%,50.74K
148,"Nov 05, 2021",357.10,366.10,377.70,353.20,,-2.54%,66.13K
149,"Nov 04, 2021",366.40,384.20,391.60,357.10,,-4.48%,82.44K
150,"Nov 03, 2021",383.60,361.80,400.00,350.30,,6.38%,220.09K
151,"Nov 02, 2021",360.60,364.50,376.20,355.50,,-1.04%,88.97K
152,"Nov 01, 2021",364.40,346.40,369.20,325.50,,5.35%,169.94K
153,"Oct 31, 2021",345.90,319.00,358.00,318.10,,8.57%,175.05K
